blockchain,address,ternoaAddress,LP,tiime
BSC,0xe77352d7e18d868fc5404e191e101b1d6dcda92e,5EsRhJmj3kneGCb14Mbo9hSU6guhxT5Nyt7SYnJf98KPUgBG,267,703
BSC,0x5e0b147c4b3aa8e363f58627e8960bb411482eaa,5HGk99MzGMNuwnxZ1qTwkU9SLaQgkjgbd5CUjP2eN5XgXiLu,31,80
BSC,0x91d9d29a9934068507430943283c04312ecf2631,5Ckv7MbDK7NwKZMZamLrkRmj5ofEmDZBaNchhy4m3FagQGCw,364,959
BSC,0x1a2319acca9bc8922c656362b2aa6f6a37edcf08,5HiaHJfn1FJd4GY83ddjichYjnJKq1hMRSaYzgyTUrPCMX9B,5,12
BSC,0x1b53417ce962f4d09cc68e6b308089aa3948b148,5Gv5g2dUPvuZNuknnHFyBRrBJ7z9oWuNUMMndtY2Tq8zjx5z,4181,11008
BSC,0x32b761a2c54ba432541c31e980872083a2a161c5,5F1cd3Mw45vt7wMU1VhmvcnZ6igs1fnKA2xzByfuMcVtG5ss,334,880
ETH,0x1b53417ce962f4d09cc68e6b308089aa3948b148,5Gv5g2dUPvuZNuknnHFyBRrBJ7z9oWuNUMMndtY2Tq8zjx5z,1180,3106
ETH,0x32b761a2c54ba432541c31e980872083a2a161c5,5F1cd3Mw45vt7wMU1VhmvcnZ6igs1fnKA2xzByfuMcVtG5ss,95,250
